datetime_day,ADFS\BASIN_LEVEL\PROCESS_VALUE,ADFS\EFFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_FLOW\PROCESS_VALUE,ADFS\WASTE_FLOW\PROCESS_VALUE,ADFS\WASTE_VACUUM\PROCESS_VALUE,ADFS\CURRENT_MODE,SEPARATOR\WASTE_FLOW\PROCESS_VALUE,SEPARATOR\TANK_LEVEL\PROCESS_VALUE,SEPARATOR\CURRENT_MODE,ADFS\INFLUENT_VALVE\POSITION_FB\PROCESS_VALUE,SEPARATOR\SR_CURRENT_MODE,SEPARATOR\INFLUENT_FLOW\PROCESS_VALUE,SEPARATOR\INFLUENT_TANK_LEVEL\PROCESS_VALUE,ADFS\WASTE_PUMP_1\SPEED_OUT,ADFS\SCUM_REMOVAL_MODE,ADFS\BASIN_PH\PROCESS_VALUE,ADFS\INFLUENT_FLOW\TOTAL_FOREVER,ADFS\WASTE_TSS\PROCESS_VALUE,SEPARATOR\INFLUENT_FLOW\TOTAL_FOREVER,SEPARATOR\WASTE_FLOW\TOTAL_FOREVER,ADFS\INFLUENT_FLOW\PID\OUTPUT,ADFS\INFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\EFFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\INHIBIT_WASTE_FLOW
2019-01-01,9.056014551734325,51.76727676,228.62365600971154,13.503404599771432,1.0836225199540537,2.152611376061417,0,0,0,18.270763895839828,0,0,0,2.8920553681516807,1.0384436431313249,6.225229493633826,12.59101993502501,150,0,0,14.809090380365244,-0.29785544,109.13457962732872,50.849501143524485,0
2019-01-02,8.974368641238229,51.76727676,213.1232570172166,13.59880969736426,1.1291485102802,2.1528310661550982,0,0,0,18.387483906760842,0,0,0,2.9431461457970003,1.124869201255668,6.204776392299733,12.920567616843972,150,0,0,14.858702489412277,-0.29785544,112.39861231304558,54.367655701161496,0
2019-01-03,9.120573146408557,51.76727676,243.61094301287176,13.947286001931753,1.140383955211022,2.1426578304848274,0,0,0,18.728747392117196,0,0,0,2.996105104057668,1.035926055109871,6.326038491910825,13.254501791584119,150,0,0,14.981391705299965,-0.29785544,119.3731598731694,55.43747309485525,0
2019-01-04,9.130397722662636,51.76727676,234.22840483839255,14.239136633316086,1.097599144127667,2.1567350735422357,0,0,0,18.669283160365094,0,0,0,2.99284925295041,1.006336840881344,6.314366330141852,13.585340973519562,150,0,0,14.83352712051625,-0.29785544,119.3780773010668,53.76145696901459,0
2019-01-05,9.105396905284477,51.76727676,234.2039916373999,15.268058952084617,1.4131651743197535,2.152902888359389,0,0,0,19.038349451044922,0,0,0,3.2347881676062067,1.1807403963503225,6.3340765684424944,13.918592833362004,150,0,0,15.210222739866914,-0.29785544,121.24959409265765,55.21919906268205,0
2019-01-06,9.34400603849198,51.76727676,347.06178996471584,39.66631623033996,3.147634693959786,2.325894932589493,0,0,0,27.552019294976173,0,0,0,8.154346815434682,1.1073337982333797,6.324955189793119,14.28897405890981,150,0,0,24.04360781909577,-0.29785544,126.1618567845659,52.86711751431543,0
2019-01-07,9.573489995266186,51.76727676,659.9822271343955,62.06678391082994,4.363652656493665,2.454434499593165,0,0,0,33.66369561085842,0,0,0,12.805649192142276,1.016622108566779,6.075476111095548,15.07170060233872,150,0,0,29.133407303544693,-0.29785544,87.74194691114843,45.475354922800186,0
2019-01-08,9.240807134481717,51.76727676,360.5447224564543,21.092156308955875,2.104029656322307,2.191849311086565,0,0,0,22.03430245724551,0,0,0,4.956921109237835,1.006569385500843,6.354553639802918,15.824071977680367,150,0,0,19.232480900185454,-0.29785544,81.9720578040236,44.8508711539957,0
2019-01-09,9.276835387404025,51.76727676,303.647001675399,21.167439990605516,1.8821897426861331,2.1998604001861333,0,0,0,19.41566552646231,0,0,0,4.624651000465333,1.0091321544904608,6.49142663653967,16.269686267014308,150,0,0,16.14518395722138,-0.29785544,95.95308872961493,47.591176064684156,0
2019-01-10,9.171449223720552,51.76727676,279.4423243366558,14.536630919795824,1.5553293370170438,2.142167413181316,0,0,0,18.77534622586877,0,0,0,3.4732708975626783,1.016578442208132,6.482062607072305,16.680197502677565,150,0,0,15.157384683301146,-0.29785544,92.94094720578035,54.81282291716654,0.008434646035716363
